Nombre,Distrito,Lista,Agrupacion/movimiento,Twitter,Genero,Edad
Adriana Camila Ampuero Barrientos,26,La Lista del Pueblo,Lista del Pueblo,ampueroadriana,Mujer,24
Alejandra Alicia Flores Carlos,2,Independientes de Tarapacá,De origen Aymara,https://twitter.com/afc073,Mujer,60 
Tammy Solange Pustilnick Arditi,20,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/T_Pustilnick,Mujer,34 
Helmuth Jacobo Martinez Llancapan,23,La Lista del Pueblo,Lista del Pueblo,MartinezHelmuth,Hombre,34
Natalia Esther Henríquez Carreño,9,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/medicanatyh?lang=es,Mujer,35 
Alejandra Pía Pérez Espina,9,La Lista del Pueblo,Lista del Pueblo,alelapia,Mujer,43 
Alvin Antonio Saldaña Muñoz,15,Movimientos Sociales Autónomos,Red por la Soberanía Alimentaria de la VI Región y ONG Tejiendo Ecologías,AlvinSM15,Hombre,44 
Lisette Lorena Vergara Riquelme,6,La Lista del Pueblo,Lista del Pueblo,LisetteVergaraR,Mujer,28
Cristóbal Patricio Andrade León,6,La Lista del Pueblo,Lista del Pueblo,dinoazulado_d6,Hombre,32
Alondra Carrillo Vidal,12,Voces Constituyentes,Coordinadora Feminista 8M,https://twitter.com/AlondraCVidal,Mujer,29
Maria Trinidad Castillo Boilet,5,Independientes por la Región de Coquimbo,Independientes por la Región de Coquimbo,sin twitter,Mujer,64
Ivanna Daniela Olivares Miranda,5,La Lista del Pueblo,La Lista del Pueblo - Movimiento Territorial Constituyente,https://twitter.com/IvannaOlivares5,Mujer,30
Daniel Alejandro Bravo Silva,5,La Lista del Pueblo,La Lista del Pueblo - Movimiento Territorial Constituyente,https://twitter.com/dbravosilva,Hombre,39
Constanza Andrea San Juan Standen,4,Asamblea Constituyente Atacama,Lista del pueblo,https://twitter.com/CotaSanJuan,Mujer,35
César Uribe Araya,19,La Lista del Pueblo,Lista del Pueblo,CesarUribeA,Hombre,37
María Elisa Quinteros Cáceres,17,Asamblea Popular por la Dignidad,Asamblea Popular por la Dignidad,https://twitter.com/meqchile?lang=es,Mujer,39
Mauricio Daza Carrasco,28,Regionalismo Ciudadano Independiente,Regionalismo Ciudadano Independiente,https://twitter.com/mdaza_abogado,Hombre,49
Carolina Andrea Sepúlveda Sepúlveda,19,Independientes No Neutrales,Independientes No Neutrales,CarolinaSepuD19,Mujer,40
Janis Jan del Carmen Meneses Palma,6,Movimientos Sociales Independientes,Asamblea Vecinal Los Pinos Quilpué,JanisMeneses_D6,Mujer,31
Giovanna Jazmín Grandón Caro,12,La Lista del Pueblo,Lista del Pueblo,TiaPikachu,Mujer,46
Loreto Cristina Vallejos Dávila,15,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/loreto_vallejos,Mujer,41
Gloria del Transito Alvarado Jorquera,16,Corrientes Independientes,Lista del pueblo,https://twitter.com/gloconstituyent,Mujer,58
Gaspar Roberto Domínguez Donoso,26,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/gdominguez_,Hombre,32
Francisca Marycarmen Arauna Urrutia,18,La Lista del Pueblo,Lista del Pueblo,FranciscaArauna,Mujer,30
Fernando Salinas Manfredini,18,La Lista del Pueblo,Lista del Pueblo,fersalinas333,Hombre,65
Elisa Amanda Giustinianovich Campos ,28,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/ElisaGiustinia1,Mujer,37
Francisco Javier Caamaño Rojas,14,La Lista del Pueblo,Lista del Pueblo,frandistrito14,Hombre,31
Bastián Esteban Labbé Salazar,20,Asamblea Popular Constituyente,Coordinadora Territorial Wallpen / ONG Colectivo el Queule / Salvemos el Santuario / Red de Humedales del Biobío / Red Plurinacional de Humedales / Asamblea Ambiental del Biobío,https://twitter.com/bastianlabbed20,Hombre,31
Cristina Inés Dorador Ortiz,3,Movimiento Independientes del Norte,Sociedad Civil por la Acción Climática,https://twitter.com/criordor,Mujer,41
Rodrigo Logan Soto,9,Independiente,Independiente,https://twitter.com/rodrigologans,Hombre,41
Felix Ramon Galleguillos Aymani,999,Independiente (Pueblos Originarios),De origen Atacameño,LickanantayC,Hombre,35
Alexis Reinaldo Caiguan Ancapan,999,Independiente (Pueblos Originarios),De origen Mapuche,sin twitter,Hombre,45
